code,name
P0218,Transmission Over Temperature Condition
P0500,Vehicle Speed Sensor A
P0501,Vehicle Speed Sensor A Range/Performance
P0502,Vehicle Speed Sensor A Low
P0503,Vehicle Speed Sensor A Intermittent/Erratic/High
P0560,System Voltage
P0561,System Voltage Low
P0562,System Voltage High
P0600,Serial Communication Link
P0601,Internal Control Module Memory Check Sum Error
P0602,Control Module Programming Error
P0603,Internal Control Module Keep Alive Memory (KAM) Error
P0604,Internal Control Module Random Access Memory (RAM) Error
P0605,Internal Control Module Read Only Memory (ROM) Error
P0606,Control Module Processor
P0607,Control Module Performance
P0700,Transmission Control System (MIL Request)
P0701,Transmission Control System Range/Performance
P0702,Transmission Control System Electrical
P0703,Brake Switch B Circuit
P0704,Clutch Switch Input Circuit
P0705,Transmission Range Sensor Circuit (PRNDL Input)
P0706,Transmission Range Sensor Circuit Range/Performance
P0707,Transmission Range Sensor Circuit Low
P0708,Transmission Range Sensor Circuit High
P0709,Transmission Range Sensor Circuit Intermittent
P0710,Transmission Fluid Temperature Sensor A Circuit
P0711,Transmission Fluid Temperature Sensor A Circuit Range/Performance
P0712,Transmission Fluid Temperature Sensor A Circuit Low
P0713,Transmission Fluid Temperature Sensor A Circuit High
P0714,Transmission Fluid Temperature Sensor A Circuit Intermittent
P0715,Input/Turbine Speed Sensor A Circuit
P0716,Input/Turbine Speed Sensor A Circuit Range/Performance
P0717,Input/Turbine Speed Sensor A Circuit No Signal
P0718,Input/Turbine Speed Sensor A Circuit Intermittent
P0719,Brake Switch B Circuit Low
P0720,Output Speed Sensor Circuit
P0721,Output Speed Sensor Circuit Range/Performance
P0722,Output Speed Sensor Circuit No Signal
P0723,Output Speed Sensor Circuit Intermittent
P0724,Brake Switch B Circuit High
P0725,Engine Speed Input Circuit
P0726,Engine Speed Input Circuit Range/Performance
P0727,Engine Speed Input Circuit No Signal
P0728,Engine Speed Input Circuit Intermittent
P0729,Gear 6 Incorrect Ratio
P0730,Incorrect Gear Ratio
P0731,Gear 1 Incorrect Ratio
P0732,Gear 2 Incorrect Ratio
P0733,Gear 3 Incorrect Ratio
P0734,Gear 4 Incorrect Ratio
P0735,Gear 5 Incorrect Ratio
P0736,Reverse Incorrect Ratio
P0737,TCM Engine Speed Output Circuit
